run_id,batch,task_id,repeat,trial_status,disk_write_success,test_success,clean_audit,unexpected_mutations,overall_success,latency_ms,prompt_eval_count,eval_count
"BASELINE_BATCH_C_M2_DISCOVER_FILE_rep4","batch_c","M2_DISCOVER_FILE",4,"VALID_FAIL",false,false,false,2,false,21412,13405,233
"BASELINE_BATCH_C_M2_DISCOVER_FILE_rep5","batch_c","M2_DISCOVER_FILE",5,"VALID_FAIL",true,false,false,1,false,21853,12274,328
"BASELINE_BATCH_C_M3_NESTED_FILE_rep1","batch_c","M3_NESTED_FILE",1,"VALID_FAIL",false,false,true,0,false,12634,7608,204
"BASELINE_BATCH_C_M3_NESTED_FILE_rep2","batch_c","M3_NESTED_FILE",2,"VALID_FAIL",false,false,true,0,false,12108,7608,204
"BASELINE_BATCH_C_M3_NESTED_FILE_rep3","batch_c","M3_NESTED_FILE",3,"VALID_FAIL",false,false,true,0,false,12012,7608,204
"BASELINE_BATCH_C_M3_NESTED_FILE_rep4","batch_c","M3_NESTED_FILE",4,"VALID_FAIL",false,false,true,0,false,11980,7608,204
"BASELINE_BATCH_C_M3_NESTED_FILE_rep5","batch_c","M3_NESTED_FILE",5,"VALID_FAIL",false,false,true,0,false,11934,7608,204
"BASELINE_BATCH_C_M4_OVERWRITE_PROOF_rep1","batch_c","M4_OVERWRITE_PROOF",1,"VALID_FAIL",false,null,true,0,false,3577,584,87
"BASELINE_BATCH_C_M4_OVERWRITE_PROOF_rep2","batch_c","M4_OVERWRITE_PROOF",2,"VALID_FAIL",false,null,true,0,false,3415,584,87
"BASELINE_BATCH_C_M4_OVERWRITE_PROOF_rep3","batch_c","M4_OVERWRITE_PROOF",3,"VALID_FAIL",false,null,true,0,false,3711,584,95
"BASELINE_BATCH_C_M4_OVERWRITE_PROOF_rep4","batch_c","M4_OVERWRITE_PROOF",4,"VALID_FAIL",false,null,true,0,false,3466,584,87
"BASELINE_BATCH_C_M4_OVERWRITE_PROOF_rep5","batch_c","M4_OVERWRITE_PROOF",5,"VALID_FAIL",false,null,true,0,false,3427,584,87
"BASELINE_BATCH_C_M5_SMALL_PATCH_rep1","batch_c","M5_SMALL_PATCH",1,"VALID_FAIL",false,null,true,0,false,12010,7399,197
"BASELINE_BATCH_C_M5_SMALL_PATCH_rep2","batch_c","M5_SMALL_PATCH",2,"VALID_FAIL",true,null,false,1,false,18543,17420,166
"BASELINE_BATCH_C_M5_SMALL_PATCH_rep3","batch_c","M5_SMALL_PATCH",3,"VALID_FAIL",false,null,true,0,false,11975,7399,197
